hect,quad,tree,d0,d1,d2,fam,gen,sp
1,1,1,,,,Fabaceae,Ormosia,Ormosia paraensis Ducke
1,1,2,13.1,13.3,13.6,Lacistemataceae,Lacistema,Lacistema grandifolium W. Schniz.
1,1,3,,,,Chrysobalanaceae,Licania,Licania sandwithii Prance
1,1,4,23.6,24.1,25.1,Fabaceae,Paramachaerium,Paramachaerium ormosioides (Ducke) Ducke
1,1,5,,,,Vochysiaceae,Qualea,Qualea labouriauana Paula
1,1,6,,,,Sapotaceae,Manilkara,Manilkara huberi (Ducke) A. Chev.
1,1,7,14,14.7,15.6,Fabaceae,Swartzia,Swartzia reticulata Ducke
1,1,8,34.6,30,31.5,Fabaceae,Paramachaerium,Paramachaerium ormosioides (Ducke) Ducke
1,1,9,,,,Apocynaceae,Geissospermum,Geissospermum argenteum Woodson
1,1,10,25.1,26.8,28.5,Lecythidaceae,Eschweilera,Eschweilera romeu-cardosoi S. A. Mori
1,1,11,,,,Myrtaceae,Calyptranthes,Calyptranthes sp. 4
1,1,12,12.4,,,Ochnaceae,Ouratea,Ouratea sp. 4
1,1,13,21.4,,,Burseraceae,Protium,Protium guianense (Aubl.) Marchand
1,1,14,11.9,12.5,12.4,Violaceae,Rinorea,Rinorea sp. 1
1,1,15,14.4,15.5,15.7,Putranjivaceae,Drypetes,Drypetes variabilis Uittien
1,1,16,27,28.8,30.1,Sapotaceae,Manilkara,Manilkara bidentata (A. DC.) A. Chev.
1,1,17,11.1,,,Sapotaceae,Manilkara,Manilkara bidentata (A. DC.) A. Chev.
1,1,18,19.5,30.6,31.6,Sapotaceae,Micropholis,Micropholis guyanensis (A. DC.) Pierre
1,1,19,24.1,25.2,28,Sapotaceae,Chrysophyllum,Chrysophyllum aff. prieurii A. DC.
1,1,20,12.2,12.4,12.8,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,1,21,12.3,12.4,12.4,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,1,22,26,26.6,27.8,Apocynaceae,Geissospermum,Geissospermum argenteum Woodson
1,1,5109,10.9,11.9,12,Meliaceae,Guarea,Guarea trunciflora C. DC.
1,1,5246,12.6,13.7,14.8,Lecythidaceae,Corythophora,Corythophora alta R. Knuth
1,1,5247,13.1,14.8,16.9,Lecythidaceae,Eschweilera,Eschweilera romeu-cardosoi S. A. Mori
1,1,5494,,10.1,10.5,Malvaceae,Theobroma,Theobroma sylvestre Mart.
1,1,6000,11.3,12.5,12.5,Lecythidaceae,Couratari,Couratari guianensis Aubl.
1,1,6001,10.5,11.7,11.6,Euphorbiaceae,Pogonophora,Pogonophora schomburgkiana Miers ex Benth.
1,1,6524,,,10.3,Rubiaceae,Duroia,Duroia macrophylla Huber
1,1,6525,,,10.5,Fabaceae,Swartzia,Swartzia reticulata Ducke
1,1,6526,,,10.4,Violaceae,Rinorea,Rinorea sp. 1
1,10,201,15,15.6,15.7,Sapotaceae,Pouteria,Pouteria campanulata Baehni
1,10,202,20.1,20.5,20.9,Myrtaceae,Marlierea,Marlierea umbraticola (Kunth) O. Berg
1,10,203,27.4,,,Chrysobalanaceae,Licania,Licania heteromorpha Benth.
1,10,204,12.8,12.9,13,Annonaceae,Duguetia,Duguetia stelechantha (Diels) R. E. Fries
1,10,205,22.3,30.7,23.2,Apocynaceae,Geissospermum,Geissospermum argenteum Woodson
1,10,206,48.1,49,47.4,Humiriaceae,Vantanea,Vantanea parviflora Lam.
1,10,207,11.8,12.4,12.6,Fabaceae,Inga,Inga aff. sp. 11
1,10,208,28.6,30.3,32.2,Lauraceae,Rhodostemonodaphne,Rhodostemonodaphne grandis (Mez) Rohwer
1,10,209,13.9,14.3,14.9,Annonaceae,Duguetia,Duguetia echinophora R. E. Fries
1,10,210,12.5,13,13.5,Euphorbiaceae,Mabea,Mabea speciosa MÅll. Arg.
1,10,211,31.5,31.5,32.3,Fabaceae,Dipteryx,Dipteryx punctata (Blake) Amsh.
1,10,212,18.2,18.5,18.5,Meliaceae,Guarea,Guarea sp. 3
1,10,213,,,,Fabaceae,Inga,Inga sp. 10
1,10,214,19.2,19.3,19.3,Sapotaceae,Pouteria,Pouteria vernicosa T. D. Penn.
1,10,215,67.1,65,62.9,Sapotaceae,Micropholis,Micropholis casiquiarensis/mensalis
1,10,216,47,47.7,,Malvaceae,Scleronema,Scleronema micranthum (Ducke) Ducke
1,10,217,52.7,53.5,54.9,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,10,218,23,23.3,23.5,Violaceae,Rinorea,Rinorea sp. 1
1,10,219,17.5,18.1,18.5,Ochnaceae,Lacunaria,Lacunaria jenmanii (Oliv.) Ducke
1,10,220,45,50,48,Lauraceae,Ocotea,Ocotea ligulata van der Werff
1,10,221,36,,,Lauraceae,Rhodostemonodaphne,Rhodostemonodaphne grandis (Mez) Rohwer
1,10,5114,12,13.6,16,Humiriaceae,Sacoglottis,Sacoglottis sp. 2
1,10,5498,,10.5,11.5,Lecythidaceae,Lecythis,Lecythis prancei S. A. Mori
1,10,6012,11.7,13.9,15,Lecythidaceae,Eschweilera,Eschweilera coriacea (DC.) S. A. Mori
1,10,6535,,,10.3,Sapotaceae,Pouteria,Pouteria erythrochrysa Penn.
1,10,6536,,,10.4,Sapotaceae,Pouteria,Pouteria flavilatex Penn.
1,11,222,20.6,21.5,22.5,Sapotaceae,Pouteria,Pouteria ericoides Penn.
1,11,223,12.6,13.5,14.5,Putranjivaceae,Drypetes,Drypetes variabilis Uittien
1,11,224,31.5,32.5,34.7,Lecythidaceae,Eschweilera,Eschweilera truncata A. C. Smith
1,11,225,17,,,Vochysiaceae,Vochysia,Vochysia obidensis (Huber ex Ducke) Ducke
1,11,226,13.5,13.7,14,Nyctaginaceae,Neea,Neea sp. 3
1,11,227,27.9,29,31.5,Melastomataceae,Mouriri,Mouriri angulicosta/duckeana/duckeanoides
1,11,228,13.9,14,14.5,Malvaceae,Theobroma,Theobroma sylvestre Mart.
1,11,229,21.3,22.7,23,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,11,230,,,,Violaceae,Rinorea,Rinorea flavescens (Aubl.) Kuntze
1,11,231,10.8,13.9,11.5,Fabaceae,Inga,Inga sp. 11
1,11,232,14.6,14.8,16.2,Lecythidaceae,Eschweilera,Eschweilera pseudodecolorans S. A. Mori
1,11,233,33,37.4,42.1,Vochysiaceae,Vochysia,Vochysia obidensis (Huber ex Ducke) Ducke
1,11,234,,,,,,
1,11,235,,,,Euphorbiaceae,Hevea,Hevea guianensis Aubl.
1,11,236,31.1,31.8,31.2,Sapotaceae,Pouteria,Pouteria reticulata (Engl.) Eyma
1,11,237,30.7,,,Fabaceae,Vatairea,Vatairea paraensis Ducke
1,11,238,11.9,12.6,13,Burseraceae,Protium,Protium hebetatum Daly
1,11,239,,,,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,11,240,48,49.1,50.1,Lecythidaceae,Lecythis,Lecythis prancei S. A. Mori
1,11,241,25,26.7,28.3,Sapotaceae,Pouteria,Pouteria aff. engleri Eyma
1,11,242,,,,Violaceae,Rinorea,Rinorea sp. 1
1,11,243,,,,Annonaceae,Unonopsis,Unonopsis floribunda Diels
1,11,244,,,,Malvaceae,Sterculia,Sterculia pruriens (Aubl.) K. Schum.
1,11,245,,,,Sapotaceae,Pouteria,Pouteria ericoides Penn.
1,11,246,,,,Nyctaginaceae,Neea,Neea sp. 2
1,11,247,14.1,,,Sapotaceae,Sarcaulus,Sarcaulus brasiliensis (A. DC.) Eyma
1,11,248,,,,Moraceae,Trymatococcus,Trymatococcus amazonicus Poepp. & Endl.
1,11,249,39.8,40.1,40,Sapotaceae,Pouteria,Pouteria manaosensis (Aubrev. & Pellegr.) T. D. Penn.
1,11,250,11.6,11.8,12.3,Elaeocarpaceae,Sloanea,Sloanea synandra Spruce ex Benth.
1,11,251,17.5,18,19,Euphorbiaceae,Mabea,Mabea speciosa MÅll. Arg.
1,11,5115,50.2,51.4,51.7,,,
1,11,5499,,10.5,11.9,Fabaceae,Sclerolobium,Sclerolobium melinonii Harms
1,11,5500,,10.4,,Fabaceae,Inga,Inga capitata Desv.
1,11,5501,,10.6,11.7,Violaceae,Rinorea,Rinorea sp. 1
1,11,6537,,,13.1,Fabaceae,Inga,Inga rubiginosa (L. C. Rich.) DC.
1,11,6538,,,12.2,Fabaceae,Sclerolobium,Sclerolobium melinonii Harms
1,11,6539,,,10.1,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,12,252,30.9,31.5,,Violaceae,Rinorea,Rinorea sp. 1
1,12,253,15.5,17,19.5,Annonaceae,Bocageopsis,Bocageopsis multiflora (Mart.) R. E. Fries
1,12,254,15.9,16.5,17.7,Lecythidaceae,Eschweilera,Eschweilera atropetiolata S. A. Mori
1,12,255,10.1,10.4,10.9,Myrtaceae,Eugenia,Eugenia pseudopsidium Jacq.
1,12,256,18.5,19,19.3,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,12,257,18.7,18.9,,Boraginaceae,Cordia,Cordia sagotii I. M. Johnst.
1,12,258,28.3,,,Fabaceae,Tachigali,Tachigali plumbea / Sclerolobium sp. 3
1,12,259,24.2,25.7,27.8,Apocynaceae,Aspidosperma,Aspidosperma oblongum A. DC.
1,12,260,14.2,14.9,15.5,Violaceae,Rinorea,Rinorea sp. 1
1,12,261,42.6,42.9,45.1,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,12,262,12.6,12.7,13.3,Meliaceae,Trichilia,Trichilia areolata Penn.
1,12,263,45.6,46.7,47.3,Lecythidaceae,Eschweilera,Eschweilera micrantha (O. Berg) Miers
1,12,264,,,,Annonaceae,Xylopia,Xylopia crinita R. E. Fries
1,12,265,12.6,13,13.2,Euphorbiaceae,Pausandra,Pausandra macrostachya Ducke
1,12,266,23.7,,,Lauraceae,,Lauraceae sp. 1
1,12,267,,,,Violaceae,Rinorea,Rinorea guianensis Aubl.
1,12,268,81.1,,,Apocynaceae,Aspidosperma,Aspidosperma carapanauba Pichon
1,12,269,20.4,21.2,22.4,Fabaceae,Cynometra,Cynometra longicuspis Ducke
